Condition,Class,mean_norm,sd_norm
0.28 OsM,Other,5.361027181063452,0.24937221234092377
0.28 OsM,Total PA,6.044537214356211,1.6293833199634282
0.28 OsM,Total PG,29.44248391378745,5.214144943133647
0.28 OsM,Total PE,59.151951690792885,3.830546414260852
1.1 OsM,Other,10.110983663996345,5.594823350688115
1.1 OsM,Total PA,6.761993164912219,3.046491751512796
1.1 OsM,Total PG,29.4204390127561,2.517580527728271
1.1 OsM,Total PE,53.70658415833534,1.953310821416684
1.1 OsM + 1mM GB,Other,7.252823698388705,0.5018082885474712
1.1 OsM + 1mM GB,Total PA,4.823548513547652,1.0895408213743265
1.1 OsM + 1mM GB,Total PG,30.193684059862324,1.4361778784570163
1.1 OsM + 1mM GB,Total PE,57.72994372820132,1.4007990265644763
