X102_high,X1mM_high,both
DG 18:1_18:1,CL 64:2,PE 14:0_17:1
FA 16:0,CL 66:3,PE 17:1_17:1
FA 17:1,CL 66:5,PE 31:1
FA 18:0,PE 14:0_16:1,PE 34:2
FAHFA 16:0_18:2,PE 16:1_17:1,PG 16:1_17:1
LPC 15:0/0:0,PE 17:1_18:1,NA
PE 12:0_14:0,PG 14:0_16:1,NA
PE 14:0_14:0,PG 16:1_16:1_2,NA
PE 16:0_16:0,PG 30:1,NA
PE 16:0_17:1,NA,NA
PE 16:0_19:1,NA,NA
PE 17:0_19:1,NA,NA
PE 17:1_18:1_2,NA,NA
PE 17:1_19:1,NA,NA
PE 18:0_19:1,NA,NA
PE 19:1_19:1,NA,NA
PE 29:1,NA,NA
PE 34:1,NA,NA
PE 36:2,NA,NA
PG 14:0_14:0,NA,NA
PG 16:0_17:1,NA,NA
PG 16:0_19:1,NA,NA
PG 17:0_19:1,NA,NA
PG 17:1_18:1,NA,NA
PG 17:1_19:1,NA,NA
PG 32:0,NA,NA
PMeOH 16:0_17:1,NA,NA
PMeOH 17:1_18:1,NA,NA
PMeOH 18:1_18:1,NA,NA
TG 14:0_14:0_16:0,NA,NA
TG 14:0_16:0_16:0,NA,NA
TG 15:0_16:0_16:1,NA,NA
TG 15:0_16:0_17:0,NA,NA
TG 16:0_16:0_18:1,NA,NA
TG 16:0_17:0_18:1,NA,NA
TG 18:1_18:2_18:2,NA,NA
TG 44:0,NA,NA
TG 45:1,NA,NA
TG 49:0,NA,NA
TG 49:1,NA,NA
TG 52:3,NA,NA
TG 52:4,NA,NA
